a52dec 0.8.0-2
aalib 1.4rc5-19
abseil-cpp 20250814.1-1
accountsservice 23.13.9-2
acl 2.3.2-1
acpi_ec-dkms-git r30.e83e5a6-1
adw-gtk-theme 6.3-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
ags-hyprpanel-git r610.59b57fc-1
alsa-card-profiles 1:1.4.9-1
alsa-lib 1.2.14-2
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
amd-ucode 20251021-1
aom 3.13.1-1
apache 2.4.65-4
appmenu-glib-translator-git 25.04.r4.gc172702-1
appstream 1.1.1-1
appstream-glib 0.8.3-2
apr 1.7.6-1
apr-util 1.6.3-2
aquamarine 0.9.5-4
archlinux-keyring 20251027-3
aribb24 1.0.3-4
asio 1.36.0-1
aspell 0.60.8.1-2
aspnet-runtime 9.0.9.sdk110-1
at-spi2-core 2.58.1-1
atkmm 2.28.4-1
attr 2.5.2-1
aubio 0.4.9-23
audit 4.1.2-1
autoconf 2.72-1
autoconf-archive 1:2024.10.16-3
automake 1.18.1-1
avahi 1:0.9rc2-1
ayatana-ido 0.10.4-1
aylurs-gtk-shell-git 2.3.0.r68.g2eb3ea5-1
azuredatastudio-bin 1.52.0-2
balena-etcher 2:2.1.3-2
baobab 49.0-1
base 3-2
base-devel 1-2
bash 5.3.3-2
bc 1.08.2-1
benchmark 1.9.4-1
bind 9.20.15-1
binutils 2.45+r29+g2b2e51a31ec7-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.6-1
bluez 5.84-2
bluez-deprecated-tools 5.84-2
bluez-libs 5.84-2
bluez-obex 5.84-2
bluez-utils 5.84-2
bob 4.1.4-1
bolt 0.9.10-1
boost-libs 1.89.0-3
breeze-icons 6.19.0-1
brightnessctl 0.5.1-3
brltty 6.8-4
brotli 1.1.0-3
btop 1.4.5-1
btrfs-progs 6.17.1-1
bubblewrap 0.11.0-1
bun-bin 1.2.18-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.117-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-2
cantarell-fonts 1:0.303.1-2
catppuccin-gtk-theme-mocha 1.0.3-1
cblas 3.12.1-2
ccache 4.12.1-2
cdparanoia 10.2-9
check 0.15.2-3
chromaprint 1.6.0-2
chrpath 0.17-1
cifs-utils 7.4-1
cjson 1.7.19-1
clang 21.1.5-1
clang19 19.1.7-1
clang20 20.1.8-1
cloudflared 2025.11.1-1
cmake 4.1.2-1
colord 1.4.8-1
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
colord-sane 1.4.8-1
comgr 2:6.4.4-2
compiler-rt 21.1.5-1
compiler-rt19 19.1.7-1
compiler-rt20 20.1.8-1
composefs 1.0.8-1
containerd 2.2.0-1
coreutils 9.8-2
cpio 2.15-3
cppdap 1.58.0-2
cracklib 2.10.3-1
cryptsetup 2.8.1-1
cups-pk-helper 0.2.7-2
curl 8.17.0-1
cyrus-sasl-gssapi 2.1.28-4
dart-sass 1.94.0-1
dav1d 1.5.2-1
davinci-resolve 19.1.4-2
db5.3 5.3.28-5
dbeaver 25.2.4-1
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-units 37-2
dconf 0.49.0-1
debugedit 5.2-1
debuginfod 0.194-1
decibels 49.0-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.36-2
diffutils 3.12-2
ding-libs 0.6.2-2
discord 1:0.0.114-1
djvulibre 3.5.29-1
dkms 3.3.0-1
dmenu-rs 5.5.4-1
dnssec-anchors 20250524-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
docker 1:28.5.2-1
docker-buildx 0.29.1-1
dos2unix 7.5.3-1
dotconf 1.4.1-1
dotnet-host 9.0.9.sdk110-1
dotnet-runtime 9.0.9.sdk110-1
dotnet-runtime-6.0 6.0.36.sdk136-2
dotnet-runtime-8.0 8.0.20.sdk120-1
dotnet-sdk 9.0.9.sdk110-1
dotnet-targeting-pack 9.0.9.sdk110-1
double-conversion 3.3.1-1
doxygen 1.15.0-1
duktape 2.7.0-7
e2fsprogs 1.47.3-1
easyeffects 7.2.5-2
editorconfig-core-c 0.12.10-1
efibootmgr 18-3
efivar 39-1
egl-wayland 4:1.1.20-1
eglexternalplatform 1.2.1-1
electron18-bin 18.3.15-2
electron37 37.5.1-1
enchant 2.8.12-2
epiphany 49.1-1
evince 1:48.1-1
evolution-data-server 3.58.1-3
exempi 2.6.6-2
exiv2 0.28.7-1
expat 2.7.3-1
extra-cmake-modules 6.19.0-1
eza 0.23.4-1
faac 1.31.1-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
ffmpeg 2:8.0-3
ffmpeg4.4 4.4.6-3
ffnvcodec-headers 13.0.19.0-1
fftw 3.3.10-7
file 5.46-5
filesystem 2025.10.12-1
findutils 4.10.0-3
flac 1.5.0-1
flatpak 1:1.16.1-1
flex 2.6.4-5
flowblade 2.22-1
fluidsynth 2.5.1-1
fmt 12.1.0-1
folks 0.15.9-2
fontconfig 2:2.17.1-1
freeglut 3.6.0-3
freerdp 2:3.17.2-5
freetype2 2.14.1-1
frei0r-plugins 2.5.0-1
fribidi 1.0.16-2
fuse-common 3.17.4-1
fuse2 2.9.9-5
fuse3 3.17.4-1
gawk 5.3.2-1
gc 8.2.10-2
gcc 15.2.1+r22+gc4e96a094636-1
gcc-libs 15.2.1+r22+gc4e96a094636-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdb 16.3-1
gdb-common 16.3-1
gdbm 1.26-1
gdk-pixbuf2 2.44.4-1
gdm 49.1-2
gendesk 1.0.10-1
geoclue 2.8.0-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.26-1
gexiv2 0.16.0-1
gflags 2.2.2-5
ghostscript 10.06.0-1
ghostty 1.2.3-2
ghostty-shell-integration 1.2.3-2
ghostty-terminfo 1.2.3-2
giflib 5.2.2-2
git 2.51.2-2
github-cli 2.83.0-1
gjs 2:1.86.0-1
glib-networking 1:2.80.1-1
glib2 2.86.1-1
glib2-devel 2.86.1-1
glib2-docs 2.86.1-1
glibc 2.42+r17+gd7274d718e6f-1
glibmm 2.66.8-1
glibmm-2.68 2.86.0-1
glow 2.1.1-1
glslang 1:1.4.328.1-1
glu 9.0.3-2
glycin 2.0.5-1
gmic 3.6.3-1
gmp 6.3.0-2
gnome-app-list 3.0-1
gnome-autoar 0.4.5-1
gnome-backgrounds 49.0-1
gnome-bluetooth-3.0 47.1-2
gnome-calculator 49.1.1-1
gnome-calendar 49.0.1-1
gnome-characters 49.1-1
gnome-clocks 49.0-1
gnome-color-manager 3.36.2-1
gnome-connections 49.0-1
gnome-console 49.1-1
gnome-contacts 49.0-1
gnome-control-center 49.1-1
gnome-desktop 1:44.4-1
gnome-desktop-4 1:44.4-1
gnome-desktop-common 1:44.4-1
gnome-disk-utility 46.1-2
